customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,signup_date,last_payment_date,zip,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,days_since_signup,days_since_last_payment,payment_delay,signup_missing,payment_missing
c100743,male,0,no,no,22.0,yes,multiple,no ®,month-to-month,yes,mailed check,92.6,3500.385,,2018-05-10,2020-01-11 13:15:55.340945,32741.0,no,no,unknown,no,unknown,yes,37087,36476,1,0,0
c101501,female,1,yes,no,118.0,yes,no,no,month-to-month,no,unknown,56.78,6700.04,,2015-01-01,2015-01-01 00:00:00.000000,unknown,no,no,no,unknown,no,no,38312,38312,1,1,1
c105368,male,1,no,yes,114.0,yes,no phone service,dsl,month-to-month,no,bank transfer (automatic),11.65,1328.1,,2015-01-01,2029-03-18 09:00:19.756742,54661.0,no,yes,no,yes,yes,unknown,38312,33122,1,1,0
c104708,female,0,no,no,44.0,yes,multiple,no,month-to-month,yes,electronic check,83.06,3654.64,,2022-12-10,2026-12-17 17:25:30.010906,41022.0,no,no,no,yes,yes,yes,35412,33943,1,0,0
c106414,male,1,no,yes,28.0,yes,no,unknown,one year,yes,electronic check,53.62,1501.36,,2015-01-01,2015-01-01 00:00:00.000000,43567.0,no,yes,no,no,unknown,unknown,38312,38312,1,1,1
c106524,male,0,y,no,92.0,yes,yes,no,month-to-month,yes,electronic check,84.36,7761.12,,2022-04-05,2028-11-17 01:12:13.916436,41539.0,no,no,no,no,unknown,yes,35661,33243,1,0,0
c103399,male,0,no,no,52.0,yes,unknown,no,month-to-month,yes,electronic check,18.99,3500.385,,2021-04-01,2024-11-11 04:09:56.492892,26534.0,no,yes,no,no,no,unknown,36030,34710,1,0,0
c102316,female,0,yes,no,35.0,yes,multiple,fiber optic,month-to-month,no,bank transfer (automatic),95.44,3340.4,,2015-01-01,2015-01-01 00:00:00.000000,45036.0,yes,no,yes,no,yes,yes,38312,38312,1,1,1
c103966,female,no,y,no,31.0,y,no phone service,dsl,month-to-month,yes,mailed check,74.73,2316.63,,2015-01-01,2017-11-27 21:35:49.109040,unknown,unknown,no,yes,yes,yes,no,38312,37250,1,1,0
c100518,female,0,y,no,9.0,yes,yes,none,month-to-month,no,credit card (automatic),123.89,1115.01,,2017-04-19,2018-01-04 16:28:26.493222,9593.0,unknown,no,no,no,no,no,37473,37212,1,0,0
c107085,male,0,yes,no,99.0,no,multiple,no,month-to-month,no,credit card (automatic),82.82,3500.385,,2016-05-27,2023-05-22 09:02:05.313685,19754.0,no,no,no,no,unknown,no,37800,35249,1,0,0
c101438,male,0,no,no,63.0,yes,yes,fiber optic,month-to-month,yes,credit card (automatic),72.27,4553.01,,2019-11-25,2019-11-25 00:00:00.000000,12595.0,no,unknown,no,yes,yes,no,36523,36523,1,0,0
c105082,female,0,yes,none,17.0,no ✅,no,fiber optic,month-to-month,yes,electronic check,30.71,522.07,,2015-01-01,2017-08-22 11:46:43.442528,29868.0,no,no,unknown,yes,unknown,yes,38312,37348,1,1,0
c105039,female,1,yes,no,98.0,yes,no phone service,dsl,two year,yes,cheque,73.63,7215.74,,2015-01-01,2028-03-25 01:11:39.083878,63127.0,no,no,yes,no,no,no,38312,33480,1,1,0
c105813,female,0,yes,no,18.0,yes,no,dsl,month-to-month,yes,bank transfer (automatic),92.12,1658.16,,2015-01-01,2020-06-17 13:02:49.415729,44974.0,unknown,no,yes,unknown,no,yes,38312,36318,1,1,0
c104885,female,0,yes,yes,94.0,yes,no phone service,dsl,two year,yes,credit card (automatic),67.32,6328.08,,2021-08-09,2021-08-09 00:00:00.000000,89091.0,unknown,yes,no,unknown,yes,unknown,35900,35900,1,0,0
c100222,male,0,yes,no,102.0,no,multiple,dsl,month-to-month,yes,mailed check,55.67,5678.34,,2019-12-02,2029-06-27 17:51:01.222579,unknown,yes,no,no,no,no,yes,36516,33020,1,0,0
c106827,male,1,yes,unknown,83.0,yes,no phone service,dsl,month-to-month,no,electronic check,82.13,6816.79,,2015-01-01,2029-04-06 21:57:31.351105,71041.0,no,no,no,no,no,no,38312,33102,1,1,0
c102882,male,0,no,no,4.0,no,no,fiber,month-to-month,yes,electronic check,45.91,183.64,,2015-01-01,2019-02-15 17:11:05.254268,403.0,no,no,no,no,yes,no,38312,36805,1,1,0
c103459,female,no,yes,none,22.0,y,multiple,no,month-to-month,y,unknown,98.59,2168.98,,2015-01-01,2022-09-14 03:13:40.021645,84242.0,no,no,no,no,yes,no,38312,35499,1,1,0
c103268,male,no,no,no,19.0,yes,yes,fiber optic,month-to-month,no,electronic check,70.18,1333.42,,2023-12-10,2025-05-24 04:47:34.360312,88671.0,yes,no,no,yes,no,yes,35047,34516,1,0,0
c104879,female,0,yes,no,87.0,yes,no,unknown,month-to-month,yes,electronic check,36.36,3500.385,,2023-01-03,2029-08-26 09:40:13.723553,12666.0,yes,yes,unknown,yes,no,unknown,35388,32961,1,0,0
c104359,male,0,yes,unknown,2.0,yes,no phone service,fiber optic,two year,yes,mailed check,43.39,86.78,,2015-01-01,2019-06-21 14:27:41.581566,unknown,no,yes,yes,no,yes,yes,38312,36680,1,1,0
c100800,male,0,no,no,43.0,yes,unknown,fiber optic,two year,yes,credit card (automatic),126.61,5444.23,,2019-03-05,2022-01-06 13:58:43.248255,54212.0,yes,no,yes,no,no,yes,36788,35750,1,0,0
c100736,female,0,no,no,81.0,yes,no,fiber optic,annual,yes,electronic check,98.98,8017.38,,2022-12-15,2022-12-15 00:00:00.000000,24719.0,unknown,unknown,no,unknown,yes,yes,35407,35407,1,0,0
c107258,male,1,yes,no,53.0,yes,yes,no,month-to-month,no,electronic check,56.71,3005.63,,2015-01-01,2015-01-01 00:00:00.000000,73465.0,no,no,unknown,no,yes,no,38312,38312,1,1,1
c103912,male,0,y,no,19.0,no,no phone service,fiber optic,month-to-month,yes,mailed check,100.1,1901.9,,2023-12-22,2025-07-10 05:50:11.299234,64285.0,no,unknown,no,unknown,no,yes,35035,34469,1,0,0
c107521,male,yes,yes,no,70.0,no,no phone service,no,month-to-month,no,mailed check,52.78,3694.6,,2015-01-01,2015-01-01 00:00:00.000000,22950.0,no,no,yes,unknown,no,no,38312,38312,1,1,1
c107542,male,0,no,no,32.0,y,unknown,dsl,month-to-month,no,cheque,70.83,2241.28,,2017-07-24,2020-05-11 04:44:01.886387,83694.0,no,no,yes,unknown,unknown,unknown,37377,36355,1,0,0
c106223,female ?,0,no,yes,59.0,no,no,no,month-to-month,y,unknown,26.4,924.0,,2017-08-06,2021-09-20 11:00:24.909776,unknown,yes,yes,unknown,no,unknown,no,37364,35858,1,0,0
c105386,female,1,yes,no,103.0,yes,no,dsl,unknown,yes,electronic check,98.94,10190.82,,2015-01-01,2029-03-09 20:04:33.110408,unknown,no,unknown,no,no,yes,no,38312,33130,1,1,0
c106693,female,1,yes,no,7.0,yes,multiple,no,month-to-month,yes,mailed check,62.31,436.17,,2015-01-01,2024-06-20 13:04:20.003864,91446.0,no,no,no,no,no,yes,38312,34854,1,1,0
c107805,male,0,y,no,77.0,yes,unknown,fiber optic,one year,yes,mailed check,87.52,6739.04,,2015-01-01,2029-05-11 16:53:03.383376,884.0,no,unknown,no,yes,no,no,38312,33067,1,1,0
c104464,female,0,no,none,75.0,yes,no phone service,dsl,one year,no,electronic check,70.83,3545.25,,2015-01-01,2015-01-01 00:00:00.000000,41594.0,unknown,yes,yes,no,unknown,no,38312,38312,1,1,1
c103017,female,no,yes,unknown,3.0,yes,yes,no,one year,yes,electronic check,30.26,90.78,,2017-11-07,2017-11-07 00:00:00.000000,87602.0,yes,unknown,unknown,no,no,no,37271,37271,1,0,0
c100533,male,0,yes,no,83.0,yes,no phone service,unknown,annual,no,electronic check,45.75,3797.25,,2022-07-15,2022-07-15 00:00:00.000000,63040.0,no,no,no,no,no,no,35560,35560,1,0,0
c101042,female,yes,yes,no,64.0,no,no phone service,dsl,month-to-month,yes,electronic check,41.34,2645.76,,2015-01-01,2021-10-04 22:07:07.670733,unknown,yes,no,no,yes,yes,no,38312,35843,1,1,0
c102662,male,no,no,no,61.0,y,yes,fiber optic,month-to-month,no,electronic check,49.22,3002.42,,2017-02-17,2017-02-17 00:00:00.000000,18720.0,yes,no,no,yes,no,no,37534,37534,1,0,0
c106449,male,yes,y,no,111.0,y,no phone service,dsl,month-to-month,yes,electronic check,69.89,7757.79,,2015-01-01,2026-11-10 02:36:56.853442,96029.0,no,unknown,unknown,yes,no,no,38312,33981,1,1,0
c104776,male,0,no,no,57.0,yes,unknown,fiber optic,annual,no,electronic check,55.37,3156.09,,2015-01-01,2021-12-11 06:23:32.061826,99322.0,unknown,no,unknown,no,unknown,unknown,38312,35776,1,1,0
c104855,male,0,no,no,35.0,n,no,dsl,month-to-month,yes,electronic check,107.86,3775.1,,2015-01-01,2020-09-19 07:46:38.141313,43952.0,no,unknown,unknown,unknown,yes,yes,38312,36224,1,1,0
c106578,female,0,no,no,115.0,yes,multiple,dsl,month-to-month,no,electronic check,63.0,7245.0,,2020-05-27,2030-11-30 19:53:00.381276,39329.0,no,no,unknown,no,no,yes,36339,32499,1,0,0
c102276,male,1,yes,no,12.0,no,yes,dsl,two year,yes,electronic check,89.37,1072.44,,2015-01-01,2015-01-01 00:00:00.000000,unknown,yes,no,unknown,no,no,no,38312,38312,1,1,1
c103307,male,0,yes,unknown,111.0,yes,no,no,month-to-month,yes,electronic check,98.99,10987.89,,2020-08-17,2020-08-17 00:00:00.000000,17644.0,yes,no,no,unknown,no,unknown,36257,36257,1,0,0
c103347,male,0,no,yes,113.0,yes,no phone service,dsl,month-to-month,yes,electronic check,73.97,8358.61,,2021-11-29,2029-09-18 19:17:19.173235,73975.0,yes,unknown,yes,unknown,no,unknown,35788,32937,1,0,0
c105711,female,0,no,yes,75.0,yes,no,dsl,month-to-month,no,electronic check,69.46,5209.5,,2021-08-15,2026-09-26 20:27:16.555714,28013.0,yes,no,yes,no,yes,no,35894,34025,1,0,0
c105244,male,1,no,yes,113.0,no,unknown,dsl,month-to-month,yes,electronic check,97.38,11003.94,,2015-05-24,2024-10-30 23:25:53.078480,92571.0,no,no,unknown,yes,no,unknown,38169,34721,1,0,0
